RECIPES,,,,
chef,spoon level,recipe name,vn,extras?
aaliyah maryam sumner,3,no hidden crunch budget curry,Y,photo
ami b,3,anda bhurji,N,n/a
Araya Gautam,5,Chicken Jhol : Nepali Comfort Broth,Y,ai generated images
ayesha iqbal,4,NOODLE: one pan crispy peanut udon,Y,photos
Cal,0,Electrolyte water,N,n/a
Cal,4,Kanyah,N,n/a
Cal,4,PASTA: One pot tomato gnocchi soup,N,n/a
Eli. Underwood,4,PASTA: Drag Pasta,N,photos
Eli. Underwood,3,Summer Survival Juice,N,photos
Greta Gillett,0,iced lemon water for grounding after splitting,N,n/a
hai,4,spicy noodles rice paper wrap like spring rolls,Y,photos
Has,3,Blended Berry Butter Smoothie,Y,photos
Has,4,CHANA: Jeera aloo and chana,Y,photos
Has,0,Nimbu Pani,Y,photos
Has,5,Tomato and Courgette Tart,N,photos
Io Ember,4,One-Pot Smokey Black Bean & Lime Stew,Y,n/a
Io Ember,2,Pyjama Swimming Test Bowl (aka Yoghurt and Banana),Y,n/a
Io Ember,4?,Sweet potato SOS,Y,n/a
iya,2,stock cube spaghetti,Y,n/a
jazz,3,Fancy beans on toast,N,n/a
jazz,4,RAMEN: Peanut butter fancy instant ramen,N,n/a
jessie mclaughlin,4,A JAR OF CHILLI BEANS TO SAVE MY LIFE,N,n/a
jessie mclaughlin,0,MY BABY’S SQUEEZIES,N,n/a
Jo,3,Bombay Chilli Cheese Sandwich,Y,n/a
Jo,1,Feeling Roasted,Y,n/a
Jo,5?,RICE: Jo's Tuna Rice/Mix Rice,Y,n/a
Jo,0,Kokum Sarbat,Y,n/a
Leah Lakshmi Piepzna-Samarasinha,3,"my girlfriend, AKA frozen pizza, jazzed up",Y,photo via email
Leila Haseba Shaban,4,Bastardized Balela or Syncretic Salad,Y,playlists + clip
Leila Haseba Shaban,3,"But First, Feta",Y,photo
Mariam,5,Bow pasta,N,photos in word doc
Mariam,5,Katsu Curry,N,photos in word doc
Mayya Papaya,3,boiled egg in a seaweed blanket,Y,n/a - can provide 
Mayya Papaya,2,date and nut butter heaven,Y,n/a - can provide 
Maz Koshika-Morris,3,Butter rice,Y,photo + audio
Maz Koshika-Morris,1,Cute as a cucumber,Y,photo + audio
Maz Sheikh,0,Emergency Sucky Cap Water,N,photos + vids
Maz Sheikh,5?,MAC: One Pot Vegan Mac & Cheese,N,photos + vids
Maz Sheikh,5,TOFU: Sticky Lemon Garlic Tofu,N,photo
Maz Sheikh,3,Tortilla Pizza,N,photos + vids
Nancy Nhat Vu,2,Bird food porridge,N,photos
Nancy Nhat Vu,5,DIY At Home Sushi,N,photos
Nancy Nhat Vu,3,Mum's Canh,N,photos
nikita,2,fruity salad,N,"may have sent by email, to check"
nkenna akunna,5,simple jollof,Y,n/a
Noah Gokul,4,Easy Dhal <3,Y - i deleted from doc by accident,photos + playlist holder  IMG_9612.HEIC
Noah Gokul,5,aloo curry - noah gokul.docx,N,IMG_9612.HEIC
Noah Gokul,,baigan choka - noah gokul,N,
Onique Yasmin,4,Chocolate Melt Cake <3,N,photo
SS,,protein ,N?,
Satoko,3,TOFU: Warm kimcheese silken tofu,N,photos
Tajah,4?,Vegan Coconut garlic rice,Y,n/a
Taylor Smith,4?,Baked Beans & Porridge Fusion (Trust Me),N,n/a
Taylor Smith,2,Crisp Sandwich of Sadness and Strength,N,n/a
Taylor Smith,0,Emergency Juice Cube Elixir,N,n/a
Taylor Smith,3,Traybake of Lazy Joy,N,n/a
vi,1,Canned corn,Y,photos
vi,3,couscous + pesto,Y,photos
vi,3,Hash brown Chaat,Y,photos
vi,4,ONE-POT Chilli Khichdi,Y,photo
vi,5,Shrek Curry,Y,photos
Xuanlin Tham,0,MISO SOUP MUG,Y,n/a
Xuanlin Tham,4,NOODLE: NORI SOBA,Y,n/a
yasamin ghalehnoie,2,Yogurt &,N,n/a
yasamin ghalehnoie,2,Yogurt apple desert,N,n/a
TOTAL RECIPE COMMISSIONS,32,*Leah gets commission for recipe + afterword,,
,,**rejected for art submission BUT accepted for some recipe submissions,,
,,"***Sadia added post-submission, to be included in contributor emails",,
ART,,,,
name,submission type,title,consent notes,extras?
Andrea Mindel,photos of embroidered artwork,You Make Me Sick,"yes, Andrea retains all copyright in the work and requires to be credited where it or parts of it are used",n/a
Jacq A,short story,What I eat in a day!,general yes,n/a
Zoë Nazume Ito,collage of illustrations,"なつのひ (natsu no hi, summer day)",general yes,n/a
Artist Named Nobody,comic style illustrations,Eating easy meals,"yes, if we'd like a custom piece of work they’d love to produce one for you! Alternatively, they happy to rework any existing work on their Instagram @artistnamednobody",n/a
myrfei <3,illusration,I shall keep eating,general yes,n/a
Hannah Girvan,poems + drawings + photo,Poetry and drawings to get through chronicalia,general yes,can send better quality images another day if that helps
Nikita Aashi Chadha,poem,Food as a Way of Remembering,"yes, if my submission is selected, are we able to discuss edits and go back and forth on them? :)",n/a
Nikita Aashi Chadha,prose,Food as Ancestral Wisdom Flowing Through Me,"yes, if my submission is selected, are we able to discuss edits and go back and forth on them? :)",n/a
nicky chue,art + poetry,Improvised kitchen art + poetry,general yes,n/a
rosa,illustration + worksheet,The Spoon Fairies’ Liberation Dream Kitchen Ingredients Cupboard,"yes, but only to be used in relation to the cookbook. if the piece is included, I would be happy to help with any of the above voluntarily as I’m aware you’re on a tight timeframe and budget. And also feel free to use any parts rather than all of it; I can also send the ingredients as individual images. ",n/a
Carmina Masoliver,illustration,Five Defences a Day,general yes,n/a
Aileen Angsutorn Lees,poem + image,Cooking is not my love language anymore,general yes,n/a
Lateisha Davine Lovelace-Hanson,poem-recipe-ritual + image,< how to mek sorrel & rose tea when your heart is breaking >,general yes,n/a
Maya Bhardwaj,Drawings,Foraging for blackberries in the sunshine,general yes,n/a
Maya Bhardwaj,poem or 5,Foraging for sunshine and summertime blackberries,yes,photo + illustrations
Gayathiri Kamalakanthan,Poem,wash dishes today <3,general yes,n/a
TOTAL ART COMMISSIONS,14,*rejected for recipe submission BUT accepted for art submissions,,
